,QTY,AMB supplier ,Failed units 
0,400.0,Ferrotec,5.0
1,400.0,Ferrotec,4.0
2,400.0,Ferrotec,5.0
3,400.0,Ferrotec,17.0
4,400.0,Rogers,4.0
5,508.0,Ferrotec,3.0
6,400.0,Ferrotec,1.0
7,200.0,Rogers,12.0
8,619.0,Ferrotec,24.0
9,400.0,Ferrotec,7.0
10,6595.0,Rogers,2.0
11,400.0,Rogers,2.0
12,400.0,Ferrotec,1.0
13,400.0,Rogers,2.0
14,400.0,Rogers,1.0
15,400.0,Ferrotec,3.0
16,400.0,Ferrotec,13.0
17,400.0,Ferrotec,2.0
18,400.0,Rogers,1.0
19,400.0,Ferrotec,3.0
20,400.0,Ferrotec,1.0
21,400.0,Ferrotec,13.0
22,400.0,Ferrotec,3.0
23,400.0,Ferrotec,10.0
24,400.0,Ferrotec,1.0
25,400.0,Ferrotec,5.0
26,322.0,Ferrotec,1.0
27,400.0,Ferrotec,1.0
28,400.0,Ferrotec,1.0
29,400.0,Rogers,13.0
30,400.0,Rogers,2.0
31,200.0,Ferrotec,3.0
32,400.0,Ferrotec,1.0
33,400.0,Ferrotec,1.0
34,400.0,Ferrotec,4.0
35,400.0,Ferrotec,17.0
36,400.0,Ferrotec,6.0
37,400.0,Rogers,1.0
38,6171.0,Ferrotec,1.0
39,400.0,Ferrotec,12.0
40,400.0,Ferrotec,2.0
41,400.0,Ferrotec,6.0
42,400.0,Ferrotec,2.0
43,400.0,Ferrotec,12.0
44,400.0,Ferrotec,19.0
45,400.0,Ferrotec,12.0
46,7800.0,Ferrotec,13.0
47,400.0,Ferrotec,6.0
48,400.0,Ferrotec,13.0
49,400.0,Ferrotec,6.0
50,400.0,Ferrotec,3.0
51,400.0,Rogers,1.0
52,400.0,Ferrotec,8.0
53,400.0,Rogers,1.0
54,400.0,Ferrotec,4.0
55,400.0,Rogers,4.0
56,400.0,Ferrotec,24.0
57,400.0,Ferrotec,1.0
58,400.0,Rogers,1.0
59,400.0,Rogers,2.0
60,400.0,Ferrotec,2.0
61,400.0,Ferrotec,1.0
62,400.0,Rogers,1.0
63,400.0,Ferrotec,13.0
64,419.0,Ferrotec,1.0
65,400.0,Rogers,12.0
66,200.0,Ferrotec,18.0
67,400.0,Rogers,7.0
68,400.0,Ferrotec,14.0
69,400.0,Ferrotec,1.0
70,400.0,Ferrotec,7.0
71,400.0,Ferrotec,6.0
72,400.0,Ferrotec,6.0
73,400.0,Ferrotec,18.0
74,400.0,Ferrotec,1.0
75,400.0,Ferrotec,16.0
76,400.0,Ferrotec,2.0
77,400.0,Ferrotec,17.0
78,400.0,Ferrotec,10.0
79,400.0,Ferrotec,10.0
80,280.0,Ferrotec,6.0
81,400.0,Ferrotec,18.0
82,10702.0,Ferrotec,2.0
83,400.0,Ferrotec,20.0
84,400.0,Ferrotec,17.0
85,200.0,Ferrotec,5.0
86,400.0,Ferrotec,5.0
87,400.0,Ferrotec,12.0
88,400.0,Ferrotec,7.0
89,400.0,Ferrotec,11.0
90,400.0,Ferrotec,5.0
91,400.0,Ferrotec,8.0
92,400.0,Ferrotec,8.0
93,400.0,Ferrotec,15.0
94,400.0,Ferrotec,11.0
95,400.0,Ferrotec,1.0
96,400.0,Ferrotec,7.0
97,190.0,Ferrotec,1.0
98,400.0,Ferrotec,8.0
99,240.0,Ferrotec,5.0
100,400.0,Ferrotec,9.0
101,9462.0,Ferrotec,1.0
102,400.0,Ferrotec,2.0
103,400.0,Ferrotec,8.0
104,400.0,Ferrotec,8.0
105,400.0,Ferrotec,7.0
106,400.0,Ferrotec,1.0
107,400.0,Ferrotec,2.0
108,400.0,Rogers,1.0
109,400.0,Ferrotec,1.0
110,6487.0,Rogers,1.0
111,400.0,Ferrotec,6.0
112,400.0,Ferrotec,6.0
113,400.0,Ferrotec,18.0
114,400.0,Ferrotec,3.0
115,400.0,Ferrotec,12.0
116,400.0,Ferrotec,20.0
117,6718.0,Rogers,1.0
118,400.0,Rogers,7.0
119,400.0,Rogers,1.0
120,400.0,Ferrotec,1.0
121,400.0,Rogers,2.0
122,200.0,Ferrotec,6.0
123,400.0,Ferrotec,3.0
124,7052.0,Rogers,6.0
125,400.0,Rogers,1.0
126,7296.0,Ferrotec,3.0
127,400.0,Rogers,13.0
128,400.0,Ferrotec,5.0
129,400.0,Ferrotec,9.0
130,400.0,Ferrotec,1.0
131,400.0,Ferrotec,12.0
132,6355.0,Ferrotec,11.0
133,400.0,Ferrotec,4.0
134,400.0,Rogers,1.0
135,400.0,Ferrotec,1.0
136,400.0,Ferrotec,1.0
137,400.0,Ferrotec,7.0
138,400.0,Ferrotec,11.0
139,400.0,Ferrotec,23.0
140,400.0,Rogers,6.0
141,400.0,Ferrotec,13.0
142,400.0,Ferrotec,1.0
143,400.0,Ferrotec,17.0
144,400.0,Ferrotec,9.0
145,400.0,Rogers,21.0
146,400.0,Ferrotec,14.0
147,400.0,Ferrotec,5.0
148,400.0,Ferrotec,1.0
149,400.0,Ferrotec,18.0
150,400.0,Ferrotec,6.0
151,400.0,Ferrotec,4.0
152,400.0,Ferrotec,6.0
153,856.0,Ferrotec,1.0
154,400.0,Ferrotec,36.0
155,200.0,Ferrotec,14.0
156,400.0,Ferrotec,6.0
157,400.0,Ferrotec,15.0
158,400.0,Ferrotec,1.0
159,400.0,Ferrotec,3.0
160,400.0,Ferrotec,6.0
161,400.0,Ferrotec,3.0
162,400.0,Rogers,4.0
163,400.0,Ferrotec,18.0
164,400.0,Ferrotec,3.0
165,400.0,Ferrotec,9.0
166,400.0,Rogers,1.0
167,400.0,Ferrotec,1.0
168,400.0,Rogers,9.0
169,400.0,Rogers,3.0
170,400.0,Rogers,2.0
171,400.0,Rogers,6.0
172,400.0,Rogers,8.0
173,400.0,Ferrotec,18.0
174,400.0,Ferrotec,5.0
175,400.0,Ferrotec,5.0
176,400.0,Rogers,2.0
177,400.0,Ferrotec,7.0
178,400.0,Ferrotec,18.0
179,6467.0,Ferrotec,12.0
180,400.0,Rogers,1.0
181,1698.0,Rogers,17.0
182,400.0,Rogers,1.0
183,4612.0,Ferrotec,1.0
184,400.0,Ferrotec,4.0
185,400.0,Ferrotec,1.0
186,400.0,Rogers,2.0
187,400.0,Ferrotec,6.0
188,400.0,Ferrotec,2.0
189,400.0,Ferrotec,1.0
190,400.0,Ferrotec,5.0
191,400.0,Ferrotec,10.0
192,400.0,Ferrotec,2.0
193,400.0,Ferrotec,2.0
194,400.0,Ferrotec,1.0
195,400.0,Ferrotec,4.0
196,400.0,Ferrotec,9.0
197,400.0,Ferrotec,5.0
198,400.0,Ferrotec,6.0
199,400.0,Rogers,6.0
200,400.0,Rogers,11.0
201,400.0,Ferrotec,9.0
202,400.0,Ferrotec,1.0
203,400.0,Ferrotec,1.0
204,8314.0,Ferrotec,1.0
205,400.0,Ferrotec,18.0
206,400.0,Ferrotec,18.0
207,200.0,Ferrotec,1.0
208,200.0,Ferrotec,17.0
209,400.0,Ferrotec,13.0
210,400.0,Ferrotec,5.0
211,400.0,Ferrotec,8.0
212,6146.0,Ferrotec,10.0
213,400.0,Ferrotec,6.0
214,400.0,Ferrotec,7.0
215,240.0,Ferrotec,2.0
216,400.0,Rogers,1.0
217,8048.0,Ferrotec,5.0
218,400.0,Ferrotec,10.0
219,400.0,Ferrotec,10.0
220,6673.0,Ferrotec,11.0
221,400.0,Ferrotec,2.0
222,400.0,Ferrotec,18.0
223,400.0,Ferrotec,10.0
224,400.0,Ferrotec,2.0
225,400.0,Ferrotec,12.0
226,400.0,Ferrotec,21.0
227,6538.0,Rogers,3.0
228,400.0,Ferrotec,12.0
229,400.0,Rogers,1.0
230,400.0,Ferrotec,1.0
231,1571.0,Ferrotec,6.0
232,400.0,Ferrotec,9.0
233,400.0,Ferrotec,1.0
234,582.0,Ferrotec,22.0
235,400.0,Ferrotec,2.0
236,400.0,Ferrotec,2.0
237,400.0,Ferrotec,1.0
238,400.0,Ferrotec,10.0
239,400.0,Ferrotec,11.0
240,400.0,Ferrotec,1.0
241,400.0,Ferrotec,2.0
242,400.0,Ferrotec,1.0
243,400.0,Ferrotec,9.0
244,400.0,Ferrotec,9.0
245,400.0,Ferrotec,1.0
246,400.0,Ferrotec,7.0
247,400.0,Ferrotec,7.0
248,320.0,Ferrotec,13.0
249,400.0,Ferrotec,9.0
250,400.0,Rogers,8.0
251,400.0,Ferrotec,4.0
252,400.0,Ferrotec,24.0
253,400.0,Rogers,5.0
254,400.0,Ferrotec,1.0
255,400.0,Ferrotec,2.0
256,400.0,Ferrotec,7.0
257,400.0,Ferrotec,1.0
258,238.0,Ferrotec,1.0
259,276.0,Ferrotec,6.0
260,400.0,Ferrotec,1.0
261,400.0,Ferrotec,5.0
262,400.0,Ferrotec,2.0
263,8169.0,Ferrotec,4.0
264,400.0,Ferrotec,4.0
265,400.0,Ferrotec,6.0
266,400.0,Ferrotec,8.0
267,400.0,Ferrotec,18.0
268,400.0,Ferrotec,3.0
269,7493.0,Ferrotec,5.0
270,400.0,Ferrotec,3.0
271,400.0,Ferrotec,1.0
272,400.0,Ferrotec,1.0
273,400.0,Rogers,1.0
274,400.0,Ferrotec,3.0
275,400.0,Ferrotec,13.0
276,400.0,Ferrotec,3.0
277,400.0,Ferrotec,10.0
278,200.0,Ferrotec,1.0
279,400.0,Ferrotec,1.0
280,400.0,Rogers,18.0
281,400.0,Rogers,1.0
282,400.0,Ferrotec,1.0
283,400.0,Ferrotec,19.0
284,400.0,Ferrotec,6.0
285,400.0,Ferrotec,2.0
286,400.0,Rogers,8.0
287,400.0,Rogers,3.0
288,400.0,Ferrotec,14.0
289,400.0,Rogers,7.0
290,400.0,Ferrotec,7.0
291,400.0,Ferrotec,16.0
292,400.0,Ferrotec,1.0
293,400.0,Ferrotec,5.0
294,400.0,Ferrotec,18.0
295,400.0,Ferrotec,3.0
296,400.0,Ferrotec,11.0
297,400.0,Ferrotec,12.0
298,400.0,Rogers,6.0
299,400.0,Rogers,3.0
300,400.0,Ferrotec,4.0
301,400.0,Ferrotec,14.0
302,400.0,Ferrotec,1.0
303,400.0,Ferrotec,8.0
304,400.0,Ferrotec,9.0
305,400.0,Ferrotec,8.0
306,400.0,Rogers,1.0
307,400.0,Ferrotec,8.0
308,400.0,Ferrotec,1.0
309,400.0,Ferrotec,7.0
310,400.0,Ferrotec,15.0
311,400.0,Rogers,8.0
312,400.0,Ferrotec,1.0
313,400.0,Ferrotec,1.0
314,400.0,Rogers,1.0
315,400.0,Ferrotec,1.0
316,400.0,Rogers,5.0
317,400.0,Ferrotec,1.0
318,400.0,Ferrotec,13.0
319,400.0,Ferrotec,10.0
320,400.0,Ferrotec,8.0
321,400.0,Ferrotec,1.0
322,200.0,Ferrotec,1.0
323,400.0,Ferrotec,7.0
324,8447.0,Ferrotec,2.0
325,400.0,Ferrotec,10.0
326,400.0,Ferrotec,3.0
327,400.0,Ferrotec,4.0
328,400.0,Ferrotec,4.0
329,400.0,Ferrotec,1.0
330,400.0,Ferrotec,14.0
331,400.0,Ferrotec,1.0
332,400.0,Rogers,2.0
333,400.0,Rogers,6.0
334,400.0,Ferrotec,18.0
335,400.0,Ferrotec,11.0
336,400.0,Ferrotec,12.0
337,400.0,Ferrotec,3.0
338,400.0,Ferrotec,6.0
339,6964.0,Rogers,8.0
340,400.0,Ferrotec,7.0
341,200.0,Ferrotec,23.0
342,400.0,Ferrotec,2.0
343,400.0,Ferrotec,22.0
344,400.0,Ferrotec,2.0
345,400.0,Rogers,11.0
346,400.0,Ferrotec,21.0
347,5914.0,Ferrotec,1.0
348,6601.0,Ferrotec,1.0
349,400.0,Ferrotec,5.0
350,400.0,Rogers,6.0
351,400.0,Rogers,12.0
352,400.0,Ferrotec,6.0
353,400.0,Ferrotec,24.0
354,400.0,Rogers,4.0
355,400.0,Ferrotec,24.0
356,400.0,Ferrotec,2.0
357,400.0,Ferrotec,18.0
358,6377.0,Rogers,6.0
359,400.0,Ferrotec,1.0
360,343.0,Ferrotec,4.0
361,240.0,Ferrotec,11.0
362,400.0,Ferrotec,4.0
363,400.0,Ferrotec,1.0
364,400.0,Ferrotec,12.0
365,400.0,Ferrotec,14.0
366,400.0,Ferrotec,6.0
367,400.0,Ferrotec,2.0
368,200.0,Ferrotec,1.0
369,400.0,Ferrotec,9.0
370,400.0,Ferrotec,9.0
371,400.0,Ferrotec,3.0
372,8124.0,Ferrotec,6.0
373,200.0,Ferrotec,11.0
374,400.0,Ferrotec,2.0
375,400.0,Ferrotec,2.0
376,400.0,Ferrotec,4.0
377,3549.0,Rogers,2.0
378,400.0,Ferrotec,3.0
379,400.0,Ferrotec,4.0
380,7660.0,Ferrotec,10.0
381,400.0,Ferrotec,1.0
382,400.0,Ferrotec,10.0
383,400.0,Rogers,1.0
384,400.0,Rogers,1.0
385,400.0,Ferrotec,2.0
386,400.0,Rogers,1.0
387,400.0,Rogers,3.0
388,400.0,Ferrotec,10.0
389,400.0,Ferrotec,2.0
390,400.0,Ferrotec,23.0
391,400.0,Ferrotec,3.0
392,400.0,Ferrotec,3.0
393,400.0,Ferrotec,1.0
394,400.0,Ferrotec,9.0
395,5241.0,Ferrotec,1.0
396,400.0,Ferrotec,1.0
397,400.0,Rogers,1.0
398,220.0,Ferrotec,10.0
399,5668.0,Ferrotec,7.0
400,400.0,Ferrotec,9.0
401,400.0,Ferrotec,3.0
402,400.0,Ferrotec,13.0
403,400.0,Ferrotec,18.0
404,7214.0,Ferrotec,15.0
405,200.0,Ferrotec,1.0
406,400.0,Ferrotec,14.0
407,400.0,Ferrotec,2.0
408,400.0,Ferrotec,8.0
409,400.0,Ferrotec,18.0
410,6124.0,Ferrotec,17.0
411,5923.0,Ferrotec,5.0
412,400.0,Ferrotec,10.0
413,400.0,Ferrotec,1.0
414,200.0,Ferrotec,1.0
415,400.0,Ferrotec,1.0
416,400.0,Ferrotec,6.0
417,400.0,Ferrotec,12.0
